# Program:featureCounts v1.6.3; Command:"featureCounts" "-a" "../../genome/NC_000021.gtf" "-o" "../counts/final_counts.txt" "-g" "gene_name" "-T" "2" "SRR849504_21.bam" "SRR849505_21.bam" "SRR849506_21.bam" "SRR849507_21.bam" "SRR849508_21.bam" "SRR849509_21.bam" "SRR849510_21.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR849504_21.bam	SRR849505_21.bam	SRR849506_21.bam	SRR849507_21.bam	SRR849508_21.bam	SRR849509_21.bam	SRR849510_21.bam
PAXBP1-AS1	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	32728114;32728114;32732519;32733589;32738272;32742262	32730661;32730661;32732916;32733657;32738341;32743122	+;+;+;+;+;+	3946	28	18	6	9	9	15	10
PAXBP1	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	32733899;32733899;32733899;32733899;32733899;32733899;32737254;32737254;32737254;32737254;32737254;32737254;32738173;32738173;32738173;32738173;32738173;32738173;32741339;32741339;32741339;32743248;32743248;32743248;32743248;32743248;32743248;32743248;32743248;32743678;32743678;32743678;32743678;32743678;32743678;32743678;32743678;32743678;32744792;32744792;32744792;32744792;32744792;32744792;32744792;32744792;32744792;32745574;32745574;32745574;32745574;32745574;32745574;32745574;32745574;32745574;32748026;32748499;32748499;32748499;32748499;32748499;32748499;32748499;32748499;32748499;32748499;32750917;32750917;32750917;32750917;32750917;32750917;32750917;32751119;32751119;32751119;32751119;32751119;32751119;32751119;32751119;32751119;32751119;32755213;32755213;32755213;32755213;32755230;32755230;32755230;32755230;32755230;32755230;32759080;32759080;32759080;32759080;32759080;32759080;32759080;32759080;32759080;32759080;32759777;32759777;32759777;32759777;32759777;32759777;32759777;32759777;32759777;32759777;32761059;32761059;32761059;32761059;32761059;32761059;32761059;32761059;32761059;32761059;32762096;32762096;32762096;32762096;32762096;32762096;32762096;32762096;32762096;32762096;32764348;32764348;32764348;32764348;32764348;32764348;32764348;32764348;32764348;32764348;32769814;32769814;32769814;32769814;32769814;32769814;32769814;32769814;32769814;32769814;32771326;32771326;32771326;32771326;32771326;32771326;32771326;32771326;32771326;32771326	32735067;32735067;32735067;32735067;32735067;32735067;32737408;32737408;32737408;32737408;32737408;32737408;32738319;32738319;32738319;32738214;32738319;32738319;32741622;32741622;32741622;32743314;32743314;32743314;32743314;32743314;32743314;32743314;32743314;32743754;32743754;32743754;32743754;32743754;32743754;32743754;32743754;32743754;32744913;32744913;32744913;32744913;32744913;32744913;32744913;32744913;32744913;32745718;32745718;32745718;32745718;32745718;32745718;32745718;32745718;32745718;32748248;32748698;32748698;32748698;32748698;32748698;32748698;32748698;32748698;32748698;32748698;32751032;32751032;32751032;32751032;32751032;32751032;32751032;32751218;32751218;32751218;32751218;32751218;32751218;32751218;32751218;32751218;32751218;32755353;32755353;32755353;32755353;32755353;32755353;32755353;32755353;32755353;32755353;32759269;32759269;32759269;32759269;32759269;32759269;32759269;32759269;32759269;32759269;32759994;32759994;32759994;32759994;32759994;32759994;32759994;32759994;32759994;32759994;32761162;32761162;32761162;32761162;32761162;32761162;32761162;32761162;32761162;32761162;32762317;32762317;32762317;32762317;32762317;32762317;32762317;32762317;32762317;32762317;32764524;32764524;32764524;32764524;32764524;32764524;32764524;32764524;32764524;32764524;32769942;32769942;32769942;32769942;32769942;32769942;32769942;32769942;32769942;32769942;32771835;32771835;32771835;32771755;32771835;32771835;32771835;32771835;32771755;32771755	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4496	690	827	475	520	1299	318	470
C21orf62-AS1	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	32772100;32772100;32784797;32784797;32788612;32788612;32796939;32796939	32772320;32772308;32784919;32784919;32788701;32788701;32797707;32797707	+;+;+;+;+;+;+;+	1203	0	0	2	11	8	3	2
C21orf62	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	32790673;32790673;32790673;32807557;32807642;32810574;32810574;32810574;32813592;32813592;32813592;32813592	32794485;32794485;32794485;32807716;32807716;32810654;32810654;32810654;32813808;32813703;32813703;32813703	-;-;-;-;-;-;-;-;-;-;-;-	4271	4	3	3	0	2	0	0
LOC105377136	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	32879699;32884104;32885932;32893578;32926952;32930852	32880474;32884227;32886068;32893769;32927045;32932240	+;+;+;+;+;+	2712	0	0	0	0	0	0	0
LINC01690	NC_000021.9;NC_000021.9	32958888;32960193	32959089;32960566	+;+	576	0	0	0	0	0	0	0
OLIG2	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33025935;33025935;33026801;33026801	33026026;33026260;33029185;33029196	+;+;+;+	2722	237	113	159	0	17	378	6
LOC107985505	NC_000021.9;NC_000021.9	33028819;33035169	33030685;33035308	-;-	2007	0	0	0	0	0	1	0
LOC105372785	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33035339;33035710;33036450;33036450	33035627;33035829;33037078;33037078	+;+;+;+	1038	0	2	0	0	0	0	0
LINC00945	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33057829;33058101;33062792;33064276;33064603	33057898;33058204;33062816;33064448;33065079	+;+;+;+;+	849	0	0	2	0	0	3	1
OLIG1	NC_000021.9	33070141	33072413	+	2273	385	38	83	0	2	74	0
LOC101928107	NC_000021.9;NC_000021.9;NC_000021.9	33111704;33114386;33123612	33112729;33114623;33123700	-;-;-	1353	14	8	9	2	4	31	2
LINC01548	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33165470;33168443;33169696;33170141	33165691;33168581;33169833;33170236	-;-;-;-	595	0	0	0	0	0	0	0
LOC105372787	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33173020;33176025;33177548;33177548;33195311;33195311	33173180;33176352;33177819;33177819;33195517;33195517	-;-;-;-;-;-	968	0	0	0	0	0	0	0
IFNAR2	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33229938;33229938;33229938;33229938;33229938;33229938;33229938;33229938;33241840;33241840;33241840;33241886;33241886;33241886;33241886;33241886;33243673;33243673;33243673;33243673;33243673;33243673;33243673;33243673;33244951;33244951;33244951;33244951;33244951;33244951;33244951;33244951;33246718;33246718;33246718;33246718;33246718;33246718;33246718;33246718;33248709;33248709;33248709;33248709;33248709;33248709;33248709;33248709;33252662;33252662;33252662;33252662;33252662;33252662;33252662;33252662;33260597;33260597;33260597;33260597;33260597;33262561;33262561;33262561;33262793;33262793;33262793;33262793;33262793;33264934	33230216;33230216;33230216;33230216;33230216;33230216;33230216;33230216;33241977;33241977;33241977;33241977;33241977;33241977;33241977;33241977;33243714;33243714;33243714;33243714;33243714;33243714;33243714;33243714;33245074;33245074;33245074;33245074;33245074;33245074;33245074;33245074;33246890;33246890;33246890;33246890;33246890;33246890;33246890;33246890;33248854;33248854;33248854;33248854;33248854;33248854;33248854;33248854;33252830;33252830;33252830;33252830;33252830;33252830;33252830;33252830;33260727;33260727;33260727;33260727;33260727;33265664;33265664;33265664;33265664;33263270;33265664;33265664;33265664;33265664	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4306	875	473	351	922	599	389	595
IL10RB-DT	NC_000021.9;NC_000021.9	33265632;33266063	33265902;33266260	-;-	469	15	14	4	13	9	6	5
IL10RB	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33266367;33268394;33276596;33279752;33283094;33288104;33296184	33266514;33268517;33276753;33279918;33283241;33288261;33297221	+;+;+;+;+;+;+	1941	460	351	91	479	493	265	484
IFNAR1	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33324395;33324970;33324970;33324970;33324970;33324970;33324970;33324970;33335524;33335524;33335524;33335524;33335524;33335524;33335524;33335524;33340999;33340999;33340999;33340999;33340999;33340999;33340999;33341078;33343268;33343268;33343268;33343268;33343268;33343268;33343268;33343268;33343511;33343535;33343535;33343535;33343535;33343535;33343535;33343535;33345246;33345246;33345246;33345246;33345246;33345246;33345246;33345246;33349091;33349091;33349091;33349091;33349091;33349091;33349091;33349106;33349389;33349389;33349389;33349389;33349389;33349389;33349389;33349389;33352758;33352758;33352758;33352758;33352758;33352758;33352758;33352758;33353638;33353638;33353638;33353638;33353638;33353638;33353638;33355316;33355316;33355316;33355316;33355316;33355316;33355331;33355331;33357741	33324638;33325131;33325131;33325131;33325131;33325131;33325131;33325131;33335647;33335647;33335647;33335647;33335647;33335647;33335647;33335647;33341174;33341174;33341174;33341174;33341174;33341174;33341174;33341174;33343422;33343422;33343422;33343422;33343422;33343422;33343422;33343422;33343676;33343676;33343676;33343676;33343676;33343676;33343676;33343676;33345360;33345360;33345360;33345360;33345360;33345360;33345360;33345360;33349290;33349290;33349290;33349290;33349290;33349290;33349290;33349290;33349543;33349543;33349543;33349543;33349543;33349543;33349543;33349543;33352908;33352908;33352908;33352908;33352908;33352908;33352908;33352908;33353783;33353783;33353783;33353783;33353783;33353783;33353783;33359864;33359864;33359864;33355533;33359864;33359864;33359864;33359864;33359864	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6343	1403	1462	1134	2150	1676	1011	1679
USF1P1	NC_000021.9	33334613	33335101	+	489	0	0	0	0	0	0	1
IFNGR2	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33402882;33403413;33410836;33414888;33414888;33421480;33421480;33426884;33426884;33432177;33432177;33432714;33432714;33436828;33436828	33403616;33403616;33410892;33415020;33415020;33421685;33421685;33427032;33427032;33432336;33432336;33432871;33432871;33437516;33437516	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2287	1797	2747	905	1875	2750	1148	2047
TMEM50B	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33432486;33432486;33436883;33439214;33439214;33448782;33448782;33449141;33455727;33455727;33455727;33460413;33460413;33460413;33465342;33465342;33465342;33467010;33467010;33467010;33468787;33468787;33468787;33479838;33479838;33479838	33432802;33432802;33436992;33439297;33439297;33450863;33450863;33450863;33455784;33455784;33455784;33460505;33460505;33460505;33465409;33465409;33465409;33467122;33467122;33467122;33468926;33468926;33468926;33479974;33480004;33479974	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3232	535	601	519	630	564	364	788
DNAJC28	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33488055;33488055;33488055;33491066;33491602;33491625	33489424;33489424;33489424;33491401;33491716;33491716	-;-;-;-;-;-	1821	24	36	16	29	35	24	26
GART	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33503931;33503931;33503933;33503933;33503933;33503933;33503933;33504412;33504412;33504412;33504412;33504412;33504412;33504412;33505561;33505561;33505561;33505561;33505561;33505561;33505561;33505974;33505974;33505974;33505974;33505974;33505974;33505974;33509783;33509783;33509783;33509783;33509783;33509783;33509783;33511252;33511252;33511252;33511252;33511252;33511252;33511252;33516989;33516989;33516989;33516989;33516989;33516989;33516989;33517357;33517357;33517357;33517357;33517357;33517357;33517357;33520364;33520364;33520364;33520364;33520364;33520364;33520364;33520906;33520906;33520906;33520906;33520906;33520906;33520906;33522188;33522188;33522188;33522188;33522188;33522188;33522188;33524009;33524769;33524769;33524769;33524769;33524769;33524769;33524769;33528167;33528167;33528167;33528167;33528167;33528167;33528167;33528167;33528519;33528519;33528519;33528519;33528519;33528519;33528519;33528519;33528850;33528850;33528850;33528850;33528850;33528850;33528850;33528850;33530759;33530759;33530759;33530759;33530759;33530759;33530759;33530759;33531489;33531489;33531489;33531489;33531489;33531489;33531489;33531489;33532345;33532345;33532345;33532345;33532345;33532345;33532345;33532345;33534579;33534579;33534579;33534579;33534579;33534579;33534579;33534579;33535225;33535225;33535225;33535225;33535225;33535225;33535225;33535225;33539171;33539171;33539171;33539171;33539171;33539171;33539171;33539171;33542065;33542065;33542548;33542548;33542587;33542587;33542660;33542660	33504315;33504315;33504315;33504315;33504315;33504315;33504315;33504527;33504527;33504527;33504527;33504527;33504527;33504527;33505702;33505702;33505702;33505702;33505702;33505702;33505702;33506104;33506104;33506104;33506104;33506104;33506104;33506104;33509920;33509920;33509920;33509920;33509920;33509920;33509920;33511458;33511458;33511458;33511458;33511458;33511458;33511458;33517141;33517141;33517141;33517141;33517141;33517141;33517141;33517608;33517608;33517608;33517608;33517608;33517608;33517608;33520562;33520562;33520562;33520562;33520562;33520562;33520562;33521015;33521015;33521015;33521015;33521015;33521015;33521015;33522282;33522282;33522282;33522282;33522282;33522282;33522282;33525000;33525000;33525000;33525000;33525000;33525000;33525000;33525000;33528335;33528335;33528335;33528335;33528335;33528335;33528335;33528335;33528604;33528604;33528604;33528604;33528604;33528604;33528604;33528604;33528937;33528937;33528937;33528937;33528937;33528937;33528937;33528937;33530884;33530884;33530884;33530884;33530884;33530884;33530884;33530884;33531557;33531557;33531557;33531557;33531557;33531557;33531557;33531557;33532456;33532456;33532456;33532456;33532456;33532456;33532456;33532456;33534753;33534753;33534753;33534753;33534753;33534753;33534753;33534753;33535320;33535320;33535320;33535320;33535320;33535320;33535320;33535320;33539356;33539323;33539323;33539356;33539356;33539356;33539356;33539323;33542117;33542117;33542892;33542892;33542865;33542889;33542892;33542892	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4425	4277	4300	1345	2289	2825	1993	2420
SON	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33543038;33543038;33543038;33543038;33543038;33546213;33546213;33546213;33546213;33546213;33549476;33549476;33549476;33549476;33557156;33557156;33557156;33557156;33557156;33557546;33559230;33559230;33559230;33559230;33559587;33559587;33559587;33559587;33559877;33567157;33567157;33567157;33568971;33568971;33568971;33572551;33573308;33573308;33573308;33575596;33575596;33575596;33575778;33575778;33575778;33576365;33576365;33576418	33543169;33543169;33543169;33543169;33543169;33546379;33546379;33546379;33546379;33546379;33555391;33555391;33555391;33555391;33557316;33557316;33557316;33557316;33557316;33559066;33559376;33559376;33559376;33559376;33559775;33559775;33559775;33559775;33560667;33567267;33567267;33567267;33569087;33569087;33569087;33572630;33573455;33573455;33573455;33575667;33575667;33575667;33575893;33575893;33575893;33577481;33577481;33577481	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10785	6212	5083	3806	6698	5682	3627	4836
MIR6501	NC_000021.9;NC_000021.9;NC_000021.9	33550662;33550664;33550705	33550728;33550685;33550727	+;+;+	67	0	0	0	0	0	0	0
LOC107985481	NC_000021.9;NC_000021.9;NC_000021.9	33564851;33571916;33573290	33566461;33572011;33573376	-;-;-	1794	14	7	8	11	13	4	5
DONSON	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33577551;33579350;33581302;33581951;33582165;33583488;33584590;33585978;33587522;33588321	33578444;33579562;33581500;33582055;33582246;33583666;33584768;33586181;33587602;33588684	-;-;-;-;-;-;-;-;-;-	2500	1054	552	501	558	964	164	831
CRYZL1	NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9;NC_000021.9	33589341;33591162;33595731;33597280;33599150;33602234;33603404;33613538;33616706;33621996;33624683;33631486;33641681	33589921;33591207;33595836;33597401;33599248;33602345;33603537;33613606;33616750;33622068;33624760;33631557;33641741	-;-;-;-;-;-;-;-;-;-;-;-;-	1598	316	271	158	208	215	160	255
